no change     /home/bsood/miniconda3/condabin/conda
no change     /home/bsood/miniconda3/bin/conda
no change     /home/bsood/miniconda3/bin/conda-env
no change     /home/bsood/miniconda3/bin/activate
no change     /home/bsood/miniconda3/bin/deactivate
no change     /home/bsood/miniconda3/etc/profile.d/conda.sh
no change     /home/bsood/miniconda3/etc/fish/conf.d/conda.fish
no change     /home/bsood/miniconda3/shell/condabin/Conda.psm1
no change     /home/bsood/miniconda3/shell/condabin/conda-hook.ps1
no change     /home/bsood/miniconda3/lib/python3.13/site-packages/xontrib/conda.xsh
no change     /home/bsood/miniconda3/etc/profile.d/conda.csh
no change     /home/bsood/.bashrc
No action taken.
Starting ChartQA Fine-Tuning
Using Projector Weights: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt
Sat Mar 28 15:37:21 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.51.03              Driver Version: 575.51.03      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A6000               On  |   00000000:61:00.0 Off |                  Off |
| 30%   31C    P8             28W /  300W |       1MiB /  49140MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
DatasetDict({
    train: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 28299
    })
    eval: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 1920
    })
    test: Dataset({
        features: ['image', 'query', 'label', 'human_or_machine', 'prompt', 'completion'],
        num_rows: 2500
    })
})
{'image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=422x359 at 0x1489E77B3160>, 'query': 'Is the value of Favorable 38 in 2015?', 'label': ['Yes'], 'human_or_machine': 0, 'prompt': '<image>\nYou are a chart question-answering assistant. Respond with the final answer only, no explanations.\nQuestion: Is the value of Favorable 38 in 2015?\nAnswer:', 'completion': 'Yes'}
Loading Vision: google/siglip2-so400m-patch16-512
Loading LLM: Qwen/Qwen3-4B-Instruct-2507
Loading pre-trained projector weights from: /home/bsood/Multimodal-Machine-Learning-Project/outputs/v_large_lr_1_gpu/checkpoint-10465/projector.pt

==================================================
EXAMPLE PROMPT TO THE MODEL:
<|im_start|>user
<image>
You are a chart question-answering assistant. Respond with the final answer only, no explanations.
Question: Is the value of Favorable 38 in 2015?
Answer:<|im_end|>
<|im_start|>assistant
Yes<|im_end|>


EXAMPLE LABELS (What we calculate loss on):
Raw label IDs (ignoring -100): [9454, 151645, 198]
Decoded target text: 'Yes<|im_end|>
'
==================================================

Starting ChartQA Fine-tuning!
{'loss': 21.3009, 'grad_norm': 67.5, 'learning_rate': 3.3834586466165413e-06, 'epoch': 0.01}
{'loss': 2.1533, 'grad_norm': 20.5, 'learning_rate': 1.0798381331721109e-05, 'epoch': 2.12}
{'loss': 2.2686, 'grad_norm': 18.75, 'learning_rate': 1.0543197151254475e-05, 'epoch': 2.14}
{'loss': 2.2459, 'grad_norm': 15.8125, 'learning_rate': 1.029025621328345e-05, 'epoch': 2.15}
{'loss': 2.2938, 'grad_norm': 21.625, 'learning_rate': 1.0039597766310407e-05, 'epoch': 2.16}
{'loss': 2.1143, 'grad_norm': 18.625, 'learning_rate': 9.791260704666688e-06, 'epoch': 2.17}
{'loss': 2.2576, 'grad_norm': 16.625, 'learning_rate': 9.54528356247742e-06, 'epoch': 2.18}
{'loss': 2.1717, 'grad_norm': 22.875, 'learning_rate': 9.301704507682235e-06, 'epoch': 2.19}
{'loss': 2.3661, 'grad_norm': 19.625, 'learning_rate': 9.060561336112774e-06, 'epoch': 2.2}
{'loss': 2.1195, 'grad_norm': 18.5, 'learning_rate': 8.821891465628007e-06, 'epoch': 2.21}
{'loss': 2.1815, 'grad_norm': 20.25, 'learning_rate': 8.585731930308119e-06, 'epoch': 2.23}
{'loss': 2.3038, 'grad_norm': 20.125, 'learning_rate': 8.352119374707978e-06, 'epoch': 2.24}
{'loss': 2.1375, 'grad_norm': 16.5, 'learning_rate': 8.121090048171074e-06, 'epoch': 2.25}
{'loss': 2.1605, 'grad_norm': 17.625, 'learning_rate': 7.892679799204767e-06, 'epoch': 2.26}
{'loss': 2.3818, 'grad_norm': 17.25, 'learning_rate': 7.666924069917659e-06, 'epoch': 2.27}
{'loss': 2.141, 'grad_norm': 17.875, 'learning_rate': 7.443857890520162e-06, 'epoch': 2.28}
{'loss': 2.1472, 'grad_norm': 15.8125, 'learning_rate': 7.223515873888867e-06, 'epoch': 2.29}
{'loss': 2.1862, 'grad_norm': 22.75, 'learning_rate': 7.005932210195737e-06, 'epoch': 2.31}
{'loss': 1.9009, 'grad_norm': 20.875, 'learning_rate': 6.791140661602827e-06, 'epoch': 2.32}
{'loss': 2.0642, 'grad_norm': 18.875, 'learning_rate': 6.57917455702349e-06, 'epoch': 2.33}
{'loss': 2.1667, 'grad_norm': 20.125, 'learning_rate': 6.3700667869507655e-06, 'epoch': 2.34}
{'loss': 2.1354, 'grad_norm': 21.0, 'learning_rate': 6.163849798353799e-06, 'epoch': 2.35}
{'loss': 2.2671, 'grad_norm': 19.0, 'learning_rate': 5.960555589643096e-06, 'epoch': 2.36}
{'loss': 2.2147, 'grad_norm': 16.25, 'learning_rate': 5.760215705705371e-06, 'epoch': 2.37}
{'loss': 2.4519, 'grad_norm': 16.625, 'learning_rate': 5.562861233008774e-06, 'epoch': 2.38}
{'loss': 2.2622, 'grad_norm': 18.875, 'learning_rate': 5.3685227947792125e-06, 'epoch': 2.4}
{'loss': 2.1544, 'grad_norm': 21.0, 'learning_rate': 5.177230546248654e-06, 'epoch': 2.41}
{'loss': 2.4082, 'grad_norm': 21.125, 'learning_rate': 4.989014169975919e-06, 'epoch': 2.42}
{'loss': 2.3017, 'grad_norm': 21.375, 'learning_rate': 4.803902871240909e-06, 'epoch': 2.43}
{'loss': 2.0264, 'grad_norm': 19.75, 'learning_rate': 4.621925373512845e-06, 'epoch': 2.44}
{'loss': 2.2331, 'grad_norm': 22.5, 'learning_rate': 4.443109913993304e-06, 'epoch': 2.45}
{'loss': 1.9478, 'grad_norm': 17.75, 'learning_rate': 4.267484239234684e-06, 'epoch': 2.46}
{'loss': 2.146, 'grad_norm': 26.75, 'learning_rate': 4.095075600834789e-06, 'epoch': 2.47}
{'loss': 2.243, 'grad_norm': 14.3125, 'learning_rate': 3.925910751208267e-06, 'epoch': 2.49}
{'loss': 1.9845, 'grad_norm': 20.75, 'learning_rate': 3.7600159394354655e-06, 'epoch': 2.5}
{'loss': 2.2353, 'grad_norm': 24.0, 'learning_rate': 3.597416907189388e-06, 'epoch': 2.51}
{'loss': 2.1367, 'grad_norm': 17.75, 'learning_rate': 3.4381388847413764e-06, 'epoch': 2.52}
{'loss': 2.1512, 'grad_norm': 19.75, 'learning_rate': 3.2822065870462217e-06, 'epoch': 2.53}
{'loss': 2.1906, 'grad_norm': 19.5, 'learning_rate': 3.1296442099071234e-06, 'epoch': 2.54}
{'loss': 2.0509, 'grad_norm': 16.25, 'learning_rate': 2.980475426221269e-06, 'epoch': 2.55}
{'loss': 2.2102, 'grad_norm': 14.9375, 'learning_rate': 2.8347233823065646e-06, 'epoch': 2.57}
{'loss': 2.2774, 'grad_norm': 19.5, 'learning_rate': 2.692410694310035e-06, 'epoch': 2.58}
{'loss': 2.1944, 'grad_norm': 15.625, 'learning_rate': 2.5535594446985166e-06, 'epoch': 2.59}
{'loss': 2.3293, 'grad_norm': 16.875, 'learning_rate': 2.4181911788321243e-06, 'epoch': 2.6}
{'loss': 1.9309, 'grad_norm': 15.8125, 'learning_rate': 2.2863269016211277e-06, 'epoch': 2.61}
{'loss': 2.2219, 'grad_norm': 22.5, 'learning_rate': 2.157987074266635e-06, 'epoch': 2.62}
{'loss': 1.9941, 'grad_norm': 21.125, 'learning_rate': 2.033191611085622e-06, 'epoch': 2.63}
{'loss': 2.1812, 'grad_norm': 13.875, 'learning_rate': 1.911959876420902e-06, 'epoch': 2.64}
{'loss': 2.1678, 'grad_norm': 17.875, 'learning_rate': 1.794310681636366e-06, 'epoch': 2.66}
{'loss': 2.2592, 'grad_norm': 19.875, 'learning_rate': 1.6802622821980336e-06, 'epoch': 2.67}
{'loss': 2.1864, 'grad_norm': 19.5, 'learning_rate': 1.5698323748414124e-06, 'epoch': 2.68}
{'loss': 2.1985, 'grad_norm': 17.125, 'learning_rate': 1.4630380948254863e-06, 'epoch': 2.69}
{'loss': 2.3941, 'grad_norm': 22.5, 'learning_rate': 1.3598960132738815e-06, 'epoch': 2.7}
{'loss': 2.0271, 'grad_norm': 19.375, 'learning_rate': 1.2604221346035422e-06, 'epoch': 2.71}
{'loss': 2.0616, 'grad_norm': 17.0, 'learning_rate': 1.1646318940413377e-06, 'epoch': 2.72}
{'loss': 2.1757, 'grad_norm': 20.625, 'learning_rate': 1.0725401552290154e-06, 'epoch': 2.73}
{'loss': 2.2412, 'grad_norm': 18.375, 'learning_rate': 9.841612079168088e-07, 'epoch': 2.75}
{'loss': 2.0609, 'grad_norm': 21.375, 'learning_rate': 8.99508765746146e-07, 'epoch': 2.76}
{'loss': 2.1985, 'grad_norm': 18.375, 'learning_rate': 8.185959641216878e-07, 'epoch': 2.77}
{'loss': 2.2981, 'grad_norm': 20.625, 'learning_rate': 7.414353581731537e-07, 'epoch': 2.78}
{'loss': 2.1766, 'grad_norm': 19.25, 'learning_rate': 6.680389208071458e-07, 'epoch': 2.79}
{'loss': 2.058, 'grad_norm': 14.875, 'learning_rate': 5.984180408493273e-07, 'epoch': 2.8}
{'loss': 2.1934, 'grad_norm': 18.75, 'learning_rate': 5.32583521277244e-07, 'epoch': 2.81}
{'loss': 2.3695, 'grad_norm': 18.75, 'learning_rate': 4.7054557754402373e-07, 'epoch': 2.83}
{'loss': 2.0881, 'grad_norm': 23.5, 'learning_rate': 4.1231383599328044e-07, 'epoch': 2.84}
{'loss': 2.3325, 'grad_norm': 16.625, 'learning_rate': 3.5789733236539504e-07, 'epoch': 2.85}
{'loss': 2.0698, 'grad_norm': 20.75, 'learning_rate': 3.073045103954453e-07, 'epoch': 2.86}
{'loss': 2.3733, 'grad_norm': 15.4375, 'learning_rate': 2.6054322050301783e-07, 'epoch': 2.87}
{'loss': 2.349, 'grad_norm': 18.875, 'learning_rate': 2.176207185740603e-07, 'epoch': 2.88}
{'loss': 2.4725, 'grad_norm': 16.0, 'learning_rate': 1.7854366483499863e-07, 'epoch': 2.89}
{'loss': 2.1326, 'grad_norm': 15.25, 'learning_rate': 1.4331812281927203e-07, 'epoch': 2.9}
{'loss': 2.1411, 'grad_norm': 17.75, 'learning_rate': 1.1194955842647736e-07, 'epoch': 2.92}
{'loss': 2.1509, 'grad_norm': 19.875, 'learning_rate': 8.444283907421136e-08, 'epoch': 2.93}
{'loss': 2.2417, 'grad_norm': 21.375, 'learning_rate': 6.080223294282206e-08, 'epoch': 2.94}
{'loss': 2.016, 'grad_norm': 18.5, 'learning_rate': 4.1031408313108035e-08, 'epoch': 2.95}
{'loss': 2.3246, 'grad_norm': 19.125, 'learning_rate': 2.5133432997118122e-08, 'epoch': 2.96}
{'loss': 2.3283, 'grad_norm': 20.25, 'learning_rate': 1.3110773862126669e-08, 'epoch': 2.97}
{'loss': 2.2855, 'grad_norm': 18.125, 'learning_rate': 4.9652964478508205e-09, 'epoch': 2.98}
{'loss': 2.3276, 'grad_norm': 22.0, 'learning_rate': 6.982646769709833e-10, 'epoch': 2.99}
{'eval_loss': 0.7755290865898132, 'eval_runtime': 138.0252, 'eval_samples_per_second': 13.911, 'eval_steps_per_second': 1.739, 'epoch': 3.0}
{'train_runtime': 12264.7479, 'train_samples_per_second': 6.922, 'train_steps_per_second': 0.216, 'train_loss': 3.0575657857115437, 'epoch': 3.0}
Fine-tuning complete.
Job finished.
